Attempt, Reward, Steps, Time Remaining
0, -1, 28, 54.977615
1, 1, 23, 55.028276000000005
2, 1, 39, 55.18488
3, 1, 39, 55.308657999999994
4, -1, 36, 54.69248700000001
5, 1, 23, 56.511148999999996
6, -1, 30, 57.494907
7, -1, 26, 55.405901
8, 1, 23, 57.085091
9, -1, 30, 57.117451
10, 1, 31, 56.446884
11, -1, 24, 55.526044999999996
12, 1, 39, 55.21304
13, 0, 42, 55.656858
14, -1, 30, 54.912282
15, -1, 30, 55.744440999999995
16, 1, 31, 53.655879999999996
17, 1, 17, 56.155773
18, -1, 40, 53.113893
19, 1, 39, 54.629934
20, 1, 31, 54.555153000000004
21, -1, 26, 55.163566
22, 1, 33, 55.234072
23, 1, 31, 54.18283600000001
24, 1, 35, 55.508984000000005
25, -1, 40, 57.449601
26, 1, 39, 56.185527
27, 1, 23, 56.744273
28, 1, 23, 56.86971
29, -1, 32, 56.141324000000004
30, -1, 34, 54.71874
31, 1, 23, 56.972338
32, 1, 35, 55.508163999999994
33, -1, 26, 55.467438
34, 1, 23, 55.619861
35, 0, 42, 56.553185000000006
36, 1, 23, 54.86386099999999
37, -1, 26, 56.269235
38, 1, 37, 57.163848
39, -1, 18, 56.064468000000005
40, 0, 42, 56.758663999999996
41, -1, 38, 56.979675
42, 1, 29, 56.824433
43, 1, 39, 54.58384999999999
44, -1, 28, 56.476021
45, -1, 32, 56.407215
46, 1, 23, 54.849340000000005
47, -1, 26, 53.559118999999995
48, 1, 23, 55.550831
49, -1, 32, 55.651713
50, 1, 35, 56.672362
51, -1, 28, 53.361367
52, -1, 34, 55.58202200000001
53, -1, 24, 57.707044
54, -1, 36, 56.322075999999996
55, -1, 36, 56.62015600000001
56, -1, 28, 55.446091
57, -1, 32, 57.204009
58, 1, 39, 56.324949
59, -1, 22, 54.521709
60, -1, 32, 56.450687
61, -1, 26, 56.217924000000004
62, -1, 26, 56.575201
63, 1, 39, 53.942915
64, 1, 23, 55.053503
65, 0, 42, 55.923154999999994
66, -1, 24, 56.087695
67, 1, 33, 56.183285000000005
68, 1, 35, 56.055820999999995
69, 1, 25, 56.769334
70, -1, 34, 55.71761699999999
71, 1, 29, 55.02585899999999
72, -1, 36, 56.320288999999995
73, -1, 28, 56.808555000000005
74, 1, 31, 57.20141
75, 1, 35, 57.002241
76, -1, 28, 56.758528
77, -1, 28, 56.002897999999995
78, 1, 23, 56.963432
79, -1, 28, 54.117985000000004
80, 1, 33, 55.849632
81, 1, 29, 55.254028
82, -1, 24, 56.306362
83, -1, 34, 56.569311
84, -1, 30, 55.79773699999999
85, 1, 23, 56.968196
86, -1, 30, 55.546867
87, 1, 23, 54.867257
88, -1, 32, 54.753603999999996
89, -1, 26, 56.101205
90, -1, 34, 55.462129
91, -1, 26, 57.451035000000005
92, -1, 26, 56.119237
93, -1, 26, 56.19395299999999
94, 1, 33, 55.497136
95, 1, 23, 54.676215
96, -1, 26, 53.847757
97, 0, 42, 56.777241000000004
98, -1, 18, 57.021101
99, 1, 39, 55.948276
